font,filename,relative_path,white_ratio,dark_ratio,border_mean,border_dark_ratio,reason
OuyxBF,乃.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/乃.png,0.126091,0.802650,139.571426,0.453125,low_white_high_dark;dark_border_low_white
OuyxBF,人.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/人.png,0.387187,0.567119,174.477676,0.316964,low_white_high_dark;dark_border_low_white
OuyxBF,伐.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/伐.png,0.055863,0.839515,62.530132,1.000000,low_white_high_dark;dark_border_low_white
OuyxBF,位.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/位.png,0.099086,0.789222,136.084824,0.466518,low_white_high_dark;dark_border_low_white
OuyxBF,光.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/光.png,0.136579,0.756876,141.555801,0.446429,low_white_high_dark;dark_border_low_white
OuyxBF,冬.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/冬.png,0.155976,0.767738,140.049103,0.450893,low_white_high_dark;dark_border_low_white
OuyxBF,出.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/出.png,0.100496,0.806705,134.084824,0.475446,low_white_high_dark;dark_border_low_white
OuyxBF,列.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/列.png,0.053581,0.850890,128.435272,0.497768,low_white_high_dark;dark_border_low_white
OuyxBF,制.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/制.png,0.123321,0.762073,137.655136,0.462054,low_white_high_dark;dark_border_low_white
OuyxBF,召.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/召.png,0.094084,0.815933,37.178566,1.000000,low_white_high_dark;dark_border_low_white
OuyxBF,吊.png,fontdata_example/font/train/new/OuyxBF/images_white_bg_mask_denoised/吊.png,0.155991,0.765042,141.361603,0.446429,low_white_high_dark;dark_border_low_white
